Row.names	Phylum	Class	Order	Family	Genus	Species	Confidence	ASVnos
39565789a09db1e890a960bc7db46798	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	 g__Pseudomonas	0.9818499	ASV2992
19f854ebc988b093cc193eae4aa05496	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9953446	ASV2993
1dc12d40137d2470080847e8c3c1a855	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.8379196	ASV2994
d5a10bd273d957356b076e45003492a9	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	 g__Oribacterium	0.9850075	ASV2995
02e5de5f6cb1e7ffa52b542e311cd6e7	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.761696	ASV2996
6e3ccdb8c30d3bc7c6b93b2d0c3bb65c	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	 s__massiliensis	0.9975613	ASV2997
dd27f3a356c85379aa4c230acf29df4b	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	 g__Corynebacterium	0.9999996	ASV2998
b7cf8bad0ee5a2fc066a237fa2e7878a	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9999273	ASV2999
b57a954469bc8b944515c31775df8842	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 s__coprophilus	0.9999999	ASV3
3c35f189d17f4235d5a85a91c2a6006c	Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella	 g__Prevotella	1	ASV30
cde3f1091d1402008a2e62800469309d	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.7738721	ASV300
b6d0fd77b748841c8ce0c623b6485096	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	 g__Coprococcus	0.989872	ASV3000
585be136f5ae19008bbe3f22738e4012	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9931333	ASV3001
