OTUs	Phylum	Class	Order	Family	Genus	Species	Confidence
e1051473f6e6ec0dc094a55f992560f7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	unclassified_Roseburia	0.9817634
e107538a3781a6330d7b102fb329752d	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	unclassified_Corynebacterium	0.9999988
e1213e6125f71f23edcd86ec945da391	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	unclassified_Coprococcus	0.9931604
e146344d92182363fea519d52eef3353	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus eutactus	0.9999849
e14e0410085b327df88eb7e43ad140bb	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	unclassified_Oscillospira	0.9229293
e153c8979a1b8a2c3060346793a97fe2	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unclassified_Sphingomonas	0.9950012
e1633883f3d3eaace8e026e0b043eb00	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9923167
e1656d5c2c275b02cd28757f6431a6f0	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified_S24-7	unclassified_S24-7	0.9999074
e168993d06fdd5445db87b0252803f9f	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	unclassified_Roseburia	0.9681266
e17a81ec994ba5172e320a8eca1e6270	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9999006
e184e1348ac071996a237af4fb3193e3	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	unclassified_Parabacteroides	0.9999998
e1941a0785df867bc3f29fc934e00480	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Phascolarctobacterium	unclassified_Phascolarctobacterium	0.9999961
e1abbb9ef7cf0e11e4608b4ffd771a51	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9934477
e1af1a7228356e63a846e2fd6a33c4b1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	unclassified_Lachnospiraceae	0.9150497
e1b74ed5b1f7b9047800a072860dc00f	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	unclassified_Intrasporangiaceae	unclassified_Intrasporangiaceae	0.7628306
e1c1e220c241ee66aae229dd8c1964c7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	unclassified_Lachnospiraceae	0.8121188
e1c59277c3f2bfa23c10e82173d0929c	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified_Ruminococcus	0.9982265
e1ec3e8169a6496fe2339081b286ea7a	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9075616
e1edeb172021c2517ee88241d28c0ed4	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9978331
e1f308d29b0689db13584433c5ba6d74	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9998159
